run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
912,.0069956,-.0054775,-.0079115,.0000422,-.0057816,-.000293,-.0004221,.0002071,.0001267,-.0000861,.0000999,-8.45e-06,-.0124258,-.0000829
913,.0066547,-.00043,-.0037489,.000351,-.0016249,-.0044779,-.0004336,.0001122,.0001055,-.0001069,.0001567,.0001096,-.003276,-.0000565
914,.0092766,-.0053818,-.0059504,-.0034301,-.0049813,.0036702,-.0005373,.0003745,.0002154,-.0000625,.0002621,-.0001696,-.0067968,.0000825
915,.0072516,-.0040777,-.0121557,-.0002682,-.0059331,-.0045087,-.0004666,.0001072,.000229,-.000173,.0002228,.0001582,-.0196918,.0000775
916,.0092025,-.0007779,-.0043459,.0001782,.0007296,-.0062473,-.0004761,.0001269,.0001226,-.0000325,.0001059,.0000795,-.0012608,-.0000736
917,.0076549,-.0027841,-.0101262,4.05e-06,-.0020968,-.0025855,-.000383,.0001329,.0003243,-.0001204,.0000915,.0001084,-.0099337,.0001536
918,.0110838,-.0028982,-.0026702,.0041482,.0008411,-.0057431,-.000394,.0002441,-.0000378,-.0002065,.0000124,.0002223,.0047616,-.0001595
919,.0126074,-.0044033,-.005003,-.0014595,-.0006121,-.0004992,-.0005829,.0002749,.0000394,-.0001116,.0000329,.000029,.0006303,-.0003182
920,.0123525,-.0003549,-.0067013,-.0005546,-.0012317,-.001787,-.0005692,.0001436,.0001645,-.0001003,.0002864,.0000347,.0017229,-.0000402
921,.0109886,-.0087519,-.0044431,-.0028346,.0020171,.0082772,-.0005769,.000409,.0000926,.0000104,.0000167,-.0002698,.0052534,-.0003179
922,.0109211,-.0030134,-.0082204,-.0012326,.0004845,-.0028554,-.0004161,.0001336,.0000919,-.0000496,.0000436,.0000856,-.003916,-.000111
923,.0115785,-.0024618,-.0071625,.00023,-.0016221,-.0054727,-.0004123,.0001669,.0001741,-.0001296,.0000548,.0001729,-.0049105,.0000268
924,.0048472,-.0077868,-.0117158,-.0039252,-.0040241,.0102963,-.0003273,.0002404,.0002609,-.0000277,.0001644,-.0003639,-.0123083,-.0000532
925,.0110136,-.0067659,-.0068467,-.0018997,-.0079885,-.0034578,-.0004666,.0003483,.0001746,-.0001461,.0003203,.0000687,-.015945,.0002992
926,.0069223,-.0035317,-.0028445,-.0032068,-.0039884,.0009372,-.0004594,.0002776,.0001018,-.0000523,.0002641,-.0000426,-.0057119,.0000892
927,.0103248,-.0102767,-.0033436,-.0054426,-.0007151,.0035245,-.0004068,.0004095,.0000609,.0000329,.0000507,-.0001241,-.0059287,.0000231
928,.003049,-.0007761,-.012691,.0015942,-.0076189,.0006893,-.000413,.0001351,.0003029,-.0001691,.0005176,.0000503,-.0157535,.0004239
929,.0076151,-.0011583,-.0083753,-.0030533,-.0017937,-.0002743,-.0003903,.0001526,.0001652,-.0000481,.0001638,9.00e-07,-.0070399,.0000441
930,.016854,-.0058545,-.0035145,-.0016186,.0001223,.0023456,-.0007216,.0002984,.0000328,-.0000553,.0001075,-.000113,.0083344,-.0004511
931,.008591,-.0069925,-.0098968,-.004393,.0031952,.0057331,-.000512,.0002688,.0001887,-7.80e-06,-.0000334,-.0000487,-.0037631,-.0001444
932,.0049166,-.0086346,-.0132709,-.0004849,-.0028671,.0066589,-.0003023,.0003572,.0003465,-.0001657,.0001214,-.0002054,-.013682,.0001518
933,.0042542,-.0075492,-.0110687,.0029407,-.0047021,.0057574,-.0001898,.0002761,.0002643,-.000283,.000201,-.0002383,-.0103678,.0000302
934,.0111749,-.0045784,.002989,.0020858,-.0051063,.0021339,-.0004553,.0002538,-.0000431,-.0001409,.0003064,-.0001343,.0086989,-.0002134
935,.0103981,-.0047972,-.0062241,-.0034624,-.0048565,.0085867,-.0006239,.0003019,.0001794,-.00006,.0002619,-.0002385,-.0003554,-.000179
936,.0084679,-.0039569,-.0095094,.0064984,-.0030152,-.0012013,-.0004443,.0002023,.0001439,-.0002868,.0001711,.0000167,-.0027166,-.000197
937,.0098361,-.0008629,-.0066424,-.0005232,-.0023216,-.0043506,-.0004488,.0001289,.0001225,-.0001279,.0002487,.0001189,-.0048645,.0000423
938,.0092178,-.0034226,-.0066817,-.003779,-.0010638,.001032,-.0004807,.0000682,.0000693,-4.69e-06,1.96e-06,-.0000267,-.0046974,-.0003725
939,.0016528,-.0096245,-.0127736,-.0006559,-.0050468,.0064798,-.0002925,.0003826,.0002917,-.0000472,.0002154,-.0001877,-.0199681,.0003623
940,.0098876,-.0004637,.001089,-.003415,-.0039544,-.0024173,-.0005587,.0001962,-.0000546,.0000344,.0001397,.0001298,.0007261,-.0001132
941,.0113114,-.0076532,-.0081831,-.0053021,-.001753,.0037477,-.0005941,.0003701,.0002168,.0001023,.000097,-.0000544,-.0078323,.0001377
942,.0065244,-.0040768,-.005018,-.0045238,-.002191,-.0009363,-.0003625,.0001283,.0001507,8.56e-06,.0000765,-.0000555,-.0102215,-.000054
943,.0041318,-.0043729,-.0090955,.0002547,-.004942,-.0008236,-.0003073,.00024,.000125,-.0001019,.0002066,.0000901,-.0148475,.0002524
944,.0111192,-.001215,-.0101197,-.0002413,-.0020595,-.0045794,-.0005129,.0001166,.0002074,-.0000644,.0000378,.0001931,-.0070957,-.0000224
945,.0120012,-.003295,-.0058084,-.0019681,-.0013756,-.0043944,-.000544,.0002141,.0000948,-.0000137,.0001806,.0001735,-.0048404,.0001054
946,.0096643,-.0065426,-.0023749,-.0004023,-.0055347,.0028247,-.0005037,.000349,.0000541,-.0001256,.0002801,-.0000991,-.0023655,-.0000451
947,.0158377,-.0023079,-.0075321,-.0033766,-.0015427,.0053265,-.0006232,.0001871,.0002169,-6.70e-06,.0001659,-.0001996,.0064049,-.0002595
948,.0125505,.0000733,-.0004104,-.0009917,.00029,-.0000512,-.0006377,.000177,.0000787,6.08e-06,.0001672,-.0000557,.0114604,-.0002645
949,.004878,-.0017969,-.0029439,.0021233,-.0021283,-.010505,-.0002521,.0001038,-.0000211,-.0000778,.0001047,.0003257,-.0103727,.0001832
950,.0069436,-.0015944,-.0115682,-.0008112,-.0008927,-.0002815,-.0003472,.0001987,.0002449,-.0000602,-9.97e-06,-.0000179,-.0082045,8.23e-06
951,.0181153,-.0020399,-.0019813,.0000233,.0030151,.0000543,-.00067,.0001048,.0000417,-.0001423,-.0000195,-.0000553,.0171868,-.0007405
952,.0086078,-.0070566,-.0068234,-.0009005,-.0014823,.0031973,-.00044,.0002639,.0001894,-.0000563,.000108,-.0000525,-.0044577,.0000124
953,.0067388,-.0078464,-.0024736,.0007836,-.0087766,.0024946,-.0002839,.0002897,.0001142,-.0002655,.0003262,-.0001286,-.0090796,.0000521
954,.0048849,-.0084218,-.0050139,.0004376,-.0020872,.0041517,-.0003474,.000292,.0000326,-.000103,.0000906,-.0001529,-.0060488,-.0001881
955,.0059466,-.0079579,-.0029386,-.0006737,-.0034035,.0021417,-.0003081,.0003448,.0000545,-.0001328,.0001006,-.0001884,-.0068855,-.0001295
956,.00623,-.002759,-.0115473,-.0026073,-.0045726,-.003813,-.0002915,.0001552,.0003021,-.000059,.0002306,.0000575,-.0190692,.0003949
957,.0171397,-.0060721,-.0027093,-.000844,-.0018006,-.0007451,-.0006762,.0003512,.0000233,8.24e-06,.0002155,7.08e-06,.0049686,-.0000708
958,.0108789,-.0087704,-.0020413,.0002639,-.0017831,.0037275,-.0005033,.0002765,5.12e-06,-.0001617,-.0000288,-.0000364,.0022754,-.0004485
959,.0100729,-.0083663,-.0020844,-.0042019,-.0089411,.0013819,-.0004019,.0003316,.0001457,-.000011,.0004396,-.0001456,-.0121389,.0003583
960,.0122596,-.0075658,-.0095566,-.0018047,-.0042287,.0105014,-.0005138,.0003488,.0002506,-.0000661,.0002937,-.0004168,-.0003947,-.0001037
961,.0119129,-.0038726,-.005546,.0008302,.002396,.0019451,-.0005456,.0002173,.0000893,-.0001166,-.0000746,-.0000969,.0076655,-.0005272
962,.0069386,-.0108846,-.011533,-.0041096,-.0010057,.0097118,-.0003333,.0003368,.0003158,.000019,.0000305,-.0001539,-.0108826,.0002148
963,.0093511,-.0104889,-.0024508,-.0016587,-.005078,.004353,-.0004771,.0004021,.0000158,-.0000332,.0002841,-.0000799,-.0059722,.0001117
964,.0057289,-.0090897,-.0175601,-.0011338,-.0023536,.0117263,-.0002692,.0003404,.0004571,-.0001097,.0001193,-.0003873,-.012682,.0001506
965,.0091695,-.005524,-.0044844,-.0012668,-.0039142,.0065268,-.0004149,.000305,.000061,-.0000759,.0001892,-.0001988,.0005068,-.0001344
966,.0114289,-.0054089,-.0090035,-.0030463,-.0024143,-.0020817,-.0005311,.0001665,.000192,-.0000409,.0001756,.0001554,-.0105258,.0001175
967,.0093256,-.0019001,-.0106759,.0043814,-.0077333,-.0050269,-.0004926,.0001667,.0002117,-.000205,.000281,.0001922,-.0116291,.000154
968,.0082075,-.0049188,-.0069602,-.0050874,-.0026934,.0013784,-.0004987,.0002604,.0002103,.000113,.0001744,-.0000426,-.0100739,.0002168
969,.0079345,-.0051523,-.0099296,.0003554,-.0032185,.0024039,-.0004715,.0002501,.0002584,-.0001551,.0002371,-.0001237,-.0076065,-4.64e-06
970,.0033581,-.0085488,-.0094025,-.0058377,-.0013742,.0084043,-.000269,.0002563,.0002461,.0000532,.0000361,-.0002591,-.0134008,.0000637
971,.0067573,-.0062779,-.0046625,-.0008078,-.0056007,-.0030177,-.0004342,.0003171,.0000482,-.0000337,.0003061,.0000987,-.0136093,.0003021
