run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
547,.0177351,.0177636,-.0102499,.0157535,-.0091212,-.0353913,-.0019718,.0213564,.0010543,-.0108246,.0067076,.037484,-.0008456,-.0005877,.0003191,-.0002856,.0003185,.000638,-.0001387,-.0005632,-.0001244,.0002649,-.000145,-.0007115,.0041541,.0461417,-.0006161,-.001245
548,-.0042754,.046886,-.0170885,.006721,-.0186995,-.002638,.0000219,-.0417122,-.0084533,-.0142495,.006212,-.0018612,-.0000826,-.0013323,.0006098,.0000257,.0004031,.0001045,-.000103,.0008763,.0003074,.0005221,-.0002353,.0000525,-.042283,-.0068539,.0008994,.0002489
549,.0037142,.0097309,-.0075793,-.0051951,-.0095,-.0128698,-.0045771,-.0073898,.0002647,.0117635,.0057449,.0134243,-.0001824,-.0004917,.0004728,.0002044,.0002171,.0000997,.000125,.0000663,.0000707,-.000058,-.0002476,-.00034,-.0119325,.0094641,.0004556,-.0005192
550,.0099148,.0105472,-.0110013,-.017286,-.0054119,-.0197615,.0026742,-.0080279,-.001138,.0097774,.0076865,.0172465,-.0004594,-.0006385,.000473,.0004953,.0001235,.000256,-.0002788,.0001515,.0001436,-.0001987,-.0002698,-.000335,.0027242,-.0075044,-.0002679,-.0002695
551,.0139506,.0121487,-.0058464,-.0037627,-.0031586,-.0151279,-.0015608,-.019231,.0006328,.0089045,.0006969,.0125099,-.0006902,-.0004852,.0002339,.0002378,.0001174,.0001868,-.0001164,.000327,-.0000456,.0002305,.0000339,-.0003858,.0047145,-.0045586,-.000467,.000111
552,-.0010022,.0221957,-.0085472,.0046858,-.0061272,-.0153369,-.0045663,.007968,-.0078268,-.0205596,.002985,.015856,-.0001285,-.0005435,.0002769,.0000698,.0001601,.0002853,1.56e-06,-.0005704,.0002368,.0007437,-.0001406,-.0003868,-.0250848,.0148089,.0004062,-.000402
553,.0061733,.0107988,-.0123243,-.0051071,-.0062184,-.0099542,.0021527,-.0019422,-.0024411,.0047522,.0053401,.022375,-.0002509,-.0005133,.0004224,.0003653,.0001702,.0001438,-.0002061,-.0000793,.0001062,.0000494,-.0002564,-.0005362,-.0073178,.0209225,-.0000147,-.0005702
554,-.0032399,.0384631,-.0119121,.0211715,-.0225997,-.0212831,-.0034266,-.0301927,-.0107893,.0069283,.009643,.0116642,-.0000655,-.0011573,.0004553,-.0003887,.0004829,.0003873,.0000334,.0005317,.0003775,.000182,-.0004198,-.0004213,-.0423247,.0267512,.0008638,-.0008662
555,.0118627,-.0035296,-.0124014,.0073621,-.0145413,-.0147989,-.0036395,.0267218,-.0027109,.007532,.0082042,-.0098659,-.0006133,-.0002691,.0004799,.0000637,.0003251,.000271,-.0000621,-.0006534,.0001896,.0000394,-.0001928,.000153,-.0132262,.0134214,.0001265,-.0003953
556,.0092108,.0025181,-.0044702,-.0118648,-.0051182,-.0172507,-.0022639,-.0066312,-.0018691,-.0009547,.0051769,.0110735,-.0003504,-.0003218,.0001498,.0004264,.000091,.0003953,-.0000946,-.0001166,.0000312,.0003118,-.0002292,-.0001763,.0006664,-.0231099,-.0004022,.0005188
