run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
410,.0128825,.0034949,-.000323,-.0003952,-1.60e-06,.0000244,-2.07e-09,-7.61e-09
411,.0060107,.0576124,-.0001507,-.0014271,-5.73e-06,.0000445,-7.83e-10,-1.39e-08
412,.0058646,.0383553,-.0002331,-.0010544,4.73e-07,.0000244,-1.62e-09,-8.26e-09
413,.0068155,.0631831,-.0002482,-.0014572,2.79e-06,.0000463,-3.66e-09,-1.24e-08
414,.0125296,.0399713,-.0002437,-.0011456,1.57e-06,.0000395,-4.58e-10,-1.27e-08
415,.0089008,.0076351,-.0003883,-.0004762,3.62e-06,.0000597,-1.76e-09,-1.50e-08
416,.0048181,.1059041,-.0002503,-.0023926,-1.50e-06,.0000369,-5.90e-11,-1.10e-08
417,.0106955,.0232728,-.0003039,-.0007976,7.37e-06,.0000859,-1.68e-09,-2.66e-08
418,.007842,.0840123,-.0004131,-.0019118,-.0000114,.0000521,4.89e-09,-1.40e-08
419,.0083147,.0278979,-.0003002,-.0008671,-.00001,.0000362,-3.49e-10,-9.78e-09
420,.0143019,.0385757,-.0004329,-.0011723,.0000122,.0000176,-5.74e-09,-5.70e-09
421,.0096675,.0343324,-.0004069,-.0009475,.000013,.0000663,-8.81e-09,-1.92e-08
422,.0112937,.0519211,-.0005781,-.0012618,.0000163,.0000544,-1.59e-09,-1.36e-08
423,.0079965,.0327062,-.0003932,-.0009098,5.92e-06,.0000211,-4.14e-09,-9.82e-09
424,.0172994,.0201277,-.0006293,-.0007937,8.06e-06,.0000335,-2.60e-09,-7.50e-09
425,.0110767,.0090356,-.0002419,-.000562,4.98e-06,.0000258,-5.32e-09,-6.72e-09
426,.0056748,.0414945,-.0002946,-.0011192,9.12e-06,.0000394,-5.90e-09,-9.03e-09
427,.0068892,.00485,-.0003345,-.0004055,.0000203,.0000598,-3.79e-09,-1.52e-08
428,.0097356,.0315284,-.0004487,-.0008947,-.0000236,.0000333,2.45e-09,-9.60e-09
429,.0105461,.0333633,-.0002944,-.0009959,9.36e-06,.0000307,-5.26e-09,-9.06e-09
430,.0156476,.0669893,-.0006235,-.0017112,-9.78e-06,.0000488,1.84e-09,-1.32e-08
431,.0046466,.0200887,-.0002327,-.0007545,-.0000136,.0000517,4.85e-09,-1.16e-08
432,.0079928,.0440195,-.000301,-.0010938,1.60e-06,.0000737,2.19e-09,-1.84e-08
433,.0060585,.0164929,-.0002553,-.0006382,.0000184,.0000345,-6.86e-09,-1.03e-08
434,-.0000702,.0524377,-.0001515,-.001149,-.0000194,.0000269,2.99e-09,-1.04e-08
435,.0096534,.0113383,-.0004404,-.0006175,6.68e-06,.0000444,-2.10e-09,-1.45e-08
436,.0135334,.010971,-.0005787,-.0004991,.000021,.0000475,-7.49e-09,-1.21e-08
437,.0046033,.032367,-.0002366,-.0007096,-3.27e-06,.0000538,-1.39e-10,-1.67e-08
438,.0041675,.0084724,-.0002922,-.0003791,-.0000136,.0000411,5.99e-10,-1.01e-08
439,.0108916,.0231055,-.0003444,-.0006856,1.45e-07,.0000265,-9.35e-10,-1.14e-08
440,.0060091,.0588973,-.0002409,-.0015033,5.56e-06,.0000387,-3.10e-09,-1.11e-08
441,.0102747,.0292482,-.0003667,-.0008451,-.0000208,.0000347,4.64e-09,-1.06e-08
442,.0049498,.0239992,-.000132,-.0005898,-.0000115,.0000708,3.07e-09,-1.75e-08
443,-.0003321,.0093527,-5.15e-06,-.0004642,.0000156,9.59e-06,-4.16e-09,-4.16e-09
444,.0008628,.0516907,-.0001672,-.0013775,.000021,.000041,-2.93e-09,-1.11e-08
445,.0055462,.0456352,-.0000965,-.0010944,-7.66e-07,.0000364,-1.19e-09,-1.13e-08
446,.0067904,.0155153,-.0001235,-.0005645,-.0000132,.0000439,2.49e-09,-1.31e-08
447,.0065995,.0280998,-.0001938,-.00096,-.0000175,.0000311,1.90e-09,-1.10e-08
448,.0105501,.0353247,-.0003999,-.0009408,1.95e-06,.000051,-2.36e-09,-1.76e-08
449,.0107991,.0510081,-.0003366,-.001392,-5.58e-06,.0000313,1.69e-09,-9.92e-09
450,.0113022,.0220181,-.0004164,-.0009335,-2.74e-06,-2.26e-06,2.25e-09,-2.11e-09
451,.0039833,.0291067,-.0001423,-.0010024,.0000134,.0000449,-4.74e-09,-1.04e-08
452,.0040251,.054478,-.0002334,-.0012682,8.50e-06,.0000608,-5.83e-09,-1.44e-08
453,.0237256,.0391039,-.0007609,-.0011572,-4.85e-07,.0000155,-2.25e-09,-6.93e-09
454,.0025775,.0020778,-.0001471,-.0004623,3.77e-06,.0000432,7.92e-10,-1.12e-08
455,.0080222,.0108309,-.0002328,-.0004872,4.31e-06,.0000429,-2.26e-09,-8.76e-09
456,.0122838,.0355377,-.0005146,-.0008469,-9.37e-06,.0000352,2.29e-09,-9.55e-09
457,.0111766,.0456919,-.0002588,-.000969,-7.19e-06,.0000484,-1.72e-09,-1.46e-08
458,.0042575,.0098817,4.01e-06,-.0003924,.000025,.0000676,-7.39e-09,-2.07e-08
459,.0108936,.0250532,-.0004115,-.0008755,.0000207,.0000242,-4.76e-09,-5.35e-09
460,.0059031,.0371739,-.0001176,-.0010036,-5.22e-06,.0000644,-1.24e-10,-1.61e-08
461,.0091771,.0568197,-.0002781,-.0014478,6.35e-07,.000036,-2.38e-09,-1.36e-08
462,.0035019,.0225204,-.0001442,-.0007747,-3.51e-06,.0000407,-1.78e-09,-1.23e-08
463,.0102421,.0365888,-.0003744,-.001225,4.96e-06,.0000409,-3.12e-09,-1.20e-08
464,.0112249,.0553932,-.0004954,-.0014182,7.97e-06,.0000391,-5.99e-09,-1.08e-08
465,.0081166,.0507229,-.0002797,-.0013563,-1.34e-06,.0000151,-6.11e-10,-5.37e-09
466,.0073435,.0214287,-.0003037,-.0005913,2.86e-06,.000047,2.60e-10,-1.44e-08
467,.0100692,.0144639,-.0003102,-.0005637,4.56e-06,.0000562,-1.41e-09,-1.45e-08
468,.0112831,.0527937,-.0004213,-.0015799,1.80e-06,.0000232,-3.82e-09,-9.89e-09
469,.0020847,.0302491,.0000267,-.0006462,.0000178,.0000443,-7.36e-09,-1.29e-08
470,.0048503,.0590721,-.0002104,-.00147,-7.40e-06,.000032,4.16e-09,-9.45e-09
471,.0008759,.0216747,-.0000268,-.0007494,7.21e-06,.0000372,-4.72e-09,-1.06e-08
472,.0018291,.0309646,-.0001308,-.0008295,.0000305,.0000362,-8.04e-09,-1.10e-08
473,.0094254,.0772486,-.0003633,-.0019382,5.98e-06,.0000447,-5.97e-10,-1.32e-08
474,.0023235,.0265505,-.0001692,-.0006183,.0000147,.0000633,-3.58e-09,-1.87e-08
475,.0083095,.0516632,-.0002148,-.0012796,-2.35e-06,.000067,1.92e-09,-1.53e-08
476,.0064609,.0739261,-.0001969,-.001675,.0000235,.0000391,-7.13e-09,-1.17e-08
477,.0040842,.0468214,-.0002475,-.001131,.000015,.0000333,-5.75e-09,-9.52e-09
478,.0094759,.0577029,-.0003349,-.0014103,-7.40e-06,.0000368,1.61e-09,-9.76e-09
479,.0051561,.0348063,-.000319,-.0009183,3.58e-06,.0000346,-1.76e-09,-9.67e-09
480,.0024438,.0320113,-.0001104,-.000928,.0000387,.0000184,-1.22e-08,-4.72e-09
481,.0106328,.0357916,-.0003235,-.0009703,2.13e-06,.0000398,1.77e-10,-1.68e-08
482,.0076457,.0196436,-.000254,-.0006794,.0000109,.0000617,-1.66e-10,-2.01e-08
483,.0102669,.0217037,-.00036,-.0006415,-8.99e-06,.0000599,2.30e-09,-1.64e-08
484,.0081001,.0478921,-.0001737,-.0011921,-3.36e-06,.0000565,-6.15e-10,-1.38e-08
485,.0104661,.0538827,-.0004168,-.0014723,-.00001,.0000854,1.94e-09,-2.12e-08
486,.0121214,.040266,-.0005323,-.0010722,9.84e-06,.0000216,-2.64e-09,-8.95e-09
487,.0164695,.0366184,-.0005887,-.0009889,-.0000106,.0000647,6.57e-10,-1.49e-08
488,-.0001003,.020898,-.0001231,-.0008068,-6.36e-06,.0000597,1.21e-09,-1.51e-08
489,.0095923,.047248,-.0002652,-.0012133,-2.25e-07,.0000301,-8.40e-10,-1.03e-08
