run,temp,temp2,prec,prec2
985,.0129926,-.0004947,.0000132,-5.16e-09
986,.0109855,-.0004804,4.64e-06,-4.33e-09
987,.0123871,-.0005018,.000019,-4.70e-09
988,.0141003,-.0006019,.0000234,-7.67e-09
989,.0110499,-.0005293,.0000151,-4.46e-09
990,.0086904,-.0003674,.0000301,-8.24e-09
991,.0160726,-.0004881,.0000173,-5.74e-09
992,.01435,-.0005947,.0000311,-9.26e-09
993,.0080663,-.0003752,.0000106,-2.93e-09
994,.0149311,-.0006232,.0000169,-5.43e-09
995,.0163489,-.0004994,9.08e-06,-3.32e-09
996,.0106592,-.0004657,8.00e-06,-4.88e-09
997,.0125433,-.0005542,.0000305,-9.14e-09
998,.0099187,-.0003443,.0000149,-4.95e-09
999,.0082631,-.0003257,-6.67e-06,4.90e-10
1000,.01766,-.0005759,.0000103,-3.36e-09
